Name,Symbol,Market Cap (bil),PB Ratio,PE Ratio,Dividend Payout Ratio,Income Growth (Avg YoY),ROE,Dividend (fwd),Strategy,Tally(%),Tally,Price/Cash Flow,Debt/Equity,Interest Coverage
Singapore Telecommunications Limited,Z74.SI,37.88,1.41,22.75,120.22,-5.36,6.1,4.38,BUY,85,6,6.63,0.50,5.87
NetLink NBN Trust,CJLU.SI,3.74,1.31,48.0,250.0,7.03,2.7,5.22,BUY,82,5,13.91,0.25,6.49
StarHub Ltd,CC3.SI,2.29,4.41,12.82,72.580004,-5.41,26.53,5.38,HOLD,70,5,3.81,2.52,6.21
